Year,Country,Count
1996,DE,15
1996,SE,1
1996,KR,2
1996,WO,20
1996,TW,3
1996,GB,2
1991,JP,6
1991,EP,17
1991,HU,1
1991,US,7
1991,DE,6
1991,WO,8
1991,NL,1
1995,US,41
1995,RU,1
1995,KR,1
1995,TW,1
1995,JP,153
1995,DE,12
1995,WO,21
1995,EP,22
1995,GB,2
1995,CA,1
1992,JP,10
1992,US,21
1992,KR,1
1992,EP,29
1992,DE,5
1992,GB,1
1992,TW,1
1992,FR,2
1992,WO,6
1992,AU,1
1997,US,104
1997,JP,42
1997,EP,33
1997,DE,12
1997,KR,12
1997,CA,1
1997,CN,2
1997,FR,1
1997,WO,24
1997,GB,3
1994,JP,103
1994,EP,30
1994,US,24
1994,TW,4
1994,CN,3
1994,DE,5
1994,NL,1
1994,WO,7
1994,CA,2
1994,GB,2
1990,JP,4
1990,SU,2
1990,US,6
1990,NL,1
1990,GB,8
1990,FR,1
1990,EP,28
1990,CA,2
1990,DE,5
1990,WO,7
1990,WI,1
1988,KR,1
1988,US,11
1988,SU,10
1988,BE,1
1988,JP,3
1988,DE,3
1988,EP,30
1988,GB,2
1988,WO,7
1989,US,21
1989,SU,9
1989,GB,4
1989,JP,3
1989,DE,2
1989,EP,9
1989,WO,1
1989,AT,1
1981,SU,2
1981,US,1
1981,EP,1
1987,SU,8
1987,US,16
1987,JP,7
1987,FR,2
1987,DE,7
1987,GB,4
1987,WO,4
1987,EP,18
1985,US,10
1985,CA,4
1985,SU,4
1985,JP,6
1985,WO,2
1985,GB,1
1985,DE,2
1985,EP,1
1986,US,12
1986,SU,3
1986,CA,4
1986,DE,6
1986,JP,3
1986,DD,2
1986,EP,12
1986,WO,7
1986,GB,2
1984,SU,7
1984,US,10
1984,JP,1
1984,EP,2
1983,US,6
1983,SU,4
1983,DD,1
1983,JP,2
1983,EP,1
1982,SU,3
1982,US,1
1982,JP,1
1979,SU,1
1980,SU,1
1980,EP,1
